0,1,2,3
256.0,-1088.0,16560.0,7045.0
224.0,-1056.0,16448.0,7148.0
224.0,-1072.0,16528.0,7250.0
256.0,-1088.0,16576.0,7353.0
256.0,-768.0,16448.0,7456.0
-912.0,-2416.0,15680.0,7558.0
256.0,-1904.0,16128.0,7661.0
512.0,-480.0,16080.0,7763.0
-48.0,-848.0,16512.0,7866.0
48.0,-1056.0,16896.0,7968.0
-64.0,-1296.0,16496.0,8071.0
112.0,-1536.0,16448.0,8174.0
224.0,-1072.0,16000.0,8276.0
528.0,-1280.0,16592.0,8379.0
160.0,-1072.0,17216.0,8481.0
80.0,-864.0,17344.0,8584.0
64.0,-704.0,16656.0,8686.0
608.0,-1072.0,16656.0,8789.0
-48.0,-1648.0,16368.0,8891.0
176.0,-960.0,15360.0,8994.0
48.0,-896.0,15744.0,9097.0
432.0,-1424.0,17152.0,9199.0
-560.0,-704.0,16592.0,9302.0
560.0,-1120.0,16928.0,9404.0
-64.0,-1088.0,16208.0,9507.0
208.0,-1024.0,16608.0,9609.0
336.0,-1536.0,15968.0,9712.0
32.0,-1568.0,15952.0,9815.0
160.0,-1296.0,16720.0,9917.0
16.0,-1200.0,17088.0,10020.0
96.0,-1264.0,16432.0,10122.0
176.0,-1152.0,16080.0,10225.0
0.0,-1424.0,16240.0,10327.0
128.0,-1168.0,16912.0,10430.0
16.0,-1392.0,16528.0,10533.0
64.0,-1504.0,16032.0,10635.0
272.0,-1264.0,16560.0,10738.0
208.0,-1264.0,16320.0,10840.0
256.0,-1328.0,16656.0,10943.0
80.0,-1360.0,16640.0,11045.0
336.0,-1472.0,16624.0,11148.0
304.0,-1104.0,16560.0,11251.0
32.0,-1184.0,16288.0,11353.0
336.0,-1856.0,16704.0,11456.0
256.0,-1360.0,16640.0,11558.0
256.0,-1216.0,16496.0,11661.0
256.0,-1696.0,16256.0,11764.0
-32.0,-1728.0,16512.0,11866.0
112.0,-1328.0,16464.0,11969.0
144.0,-1792.0,16432.0,12071.0
304.0,-1184.0,16672.0,12174.0
-16.0,-1952.0,16464.0,12276.0
352.0,-1312.0,16384.0,12379.0
448.0,-1456.0,16560.0,12482.0
288.0,-1616.0,16512.0,12584.0
80.0,-1712.0,16656.0,12687.0
48.0,-1504.0,16512.0,12790.0
64.0,-1952.0,16768.0,12892.0
-80.0,-1520.0,16464.0,12995.0
64.0,-1424.0,16384.0,13098.0
272.0,-1712.0,16112.0,13200.0
544.0,-1728.0,16512.0,13303.0
224.0,-1488.0,16912.0,13405.0
16.0,-2000.0,16320.0,13508.0
144.0,-1808.0,16032.0,13610.0
512.0,-1472.0,16416.0,13713.0
224.0,-1760.0,16896.0,13816.0
1456.0,-1824.0,17408.0,13918.0
-1360.0,-8368.0,28544.0,14021.0
-1360.0,-1024.0,13648.0,14123.0
-144.0,2352.0,6736.0,14226.0
960.0,-1888.0,9792.0,14328.0
-1264.0,-864.0,17744.0,14431.0
-2736.0,80.0,23696.0,14534.0
976.0,-4432.0,23424.0,14636.0
-80.0,-1536.0,12304.0,14739.0
-624.0,656.0,5872.0,14841.0
1152.0,-2176.0,11216.0,14944.0
2192.0,-1408.0,23920.0,15046.0
-1792.0,-320.0,24480.0,15149.0
1536.0,-512.0,22224.0,15252.0
-160.0,-864.0,10928.0,15354.0
304.0,-992.0,7792.0,15457.0
-1520.0,-1184.0,12352.0,15559.0
2192.0,-1824.0,24960.0,15662.0
752.0,-1952.0,25648.0,15764.0
-336.0,-1808.0,16704.0,15867.0
-128.0,-1088.0,8992.0,15970.0
368.0,-1088.0,8528.0,16072.0
-1312.0,-32.0,16080.0,16175.0
160.0,-1424.0,25744.0,16277.0
1920.0,-288.0,25824.0,16380.0
-1040.0,64.0,15264.0,16483.0
64.0,-432.0,8480.0,16585.0
-816.0,-1584.0,9728.0,16688.0
944.0,-1648.0,19648.0,16790.0
-48.0,-2016.0,24592.0,16893.0
-192.0,-2096.0,20992.0,16995.0
192.0,-1744.0,13056.0,17098.0
-496.0,-608.0,8176.0,17201.0
-240.0,-1360.0,12928.0,17303.0
576.0,-1312.0,21888.0,17406.0
80.0,-2224.0,23968.0,17508.0
-304.0,80.0,19712.0,17611.0
0.0,912.0,10688.0,17713.0
768.0,-896.0,9984.0,17816.0
-1312.0,-1232.0,13312.0,17919.0
1232.0,-1264.0,22992.0,18021.0
1792.0,-2640.0,24368.0,18124.0
-464.0,-1904.0,16192.0,18226.0
112.0,-960.0,10448.0,18329.0
-128.0,-768.0,10448.0,18431.0
528.0,-1168.0,17808.0,18534.0
-464.0,-1312.0,22672.0,18637.0
320.0,-784.0,22384.0,18739.0
-208.0,-208.0,13792.0,18842.0
-112.0,128.0,9408.0,18944.0
-48.0,-1424.0,11760.0,19047.0
1152.0,-1472.0,19648.0,19149.0
-256.0,-1424.0,22912.0,19252.0
112.0,-1168.0,19760.0,19355.0
176.0,-960.0,13136.0,19457.0
256.0,-816.0,9968.0,19560.0
-160.0,-1072.0,13968.0,19662.0
640.0,-1328.0,21136.0,19765.0
480.0,-1824.0,22208.0,19868.0
-144.0,-768.0,16896.0,19970.0
272.0,-736.0,11408.0,20073.0
64.0,-1248.0,10400.0,20175.0
-32.0,-1168.0,15184.0,20278.0
-112.0,-1328.0,21824.0,20380.0
624.0,-1696.0,22336.0,20483.0
320.0,-960.0,16480.0,20586.0
80.0,-512.0,10656.0,20688.0
288.0,-1168.0,12224.0,20791.0
448.0,-1120.0,18112.0,20893.0
96.0,-1088.0,22400.0,20996.0
672.0,-512.0,20352.0,21098.0
-112.0,-1104.0,13952.0,21201.0
400.0,-1168.0,11184.0,21304.0
-288.0,-1168.0,12736.0,21406.0
240.0,-1456.0,19824.0,21509.0
384.0,-1824.0,22272.0,21611.0
0.0,-1744.0,18688.0,21714.0
208.0,-624.0,12496.0,21817.0
-80.0,-784.0,11024.0,21919.0
320.0,-1104.0,15472.0,22022.0
-144.0,-688.0,20544.0,22124.0
608.0,-48.0,21616.0,22227.0
176.0,-864.0,16704.0,22329.0
400.0,-656.0,12608.0,22432.0
-592.0,-1152.0,11248.0,22535.0
1008.0,-1424.0,18272.0,22637.0
-320.0,-1856.0,20736.0,22740.0
352.0,-1760.0,20672.0,22842.0
240.0,-1424.0,14864.0,22945.0
-96.0,-1024.0,11520.0,23047.0
-208.0,-832.0,12928.0,23150.0
256.0,-1008.0,18240.0,23253.0
416.0,-1296.0,21664.0,23355.0
160.0,176.0,19024.0,23458.0
80.0,208.0,13824.0,23560.0
